   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
   ID       Имя     Фамилия Дата рождения       Успеваемость
0  01      Анна   Самойлова    15.04.2011             хорошо
1  02    Андрей     Борисов    12.11.2012             хорошо
2  03  Владимир       Липин    05.07.2011            отлично
3  04    Марина      Белова    22.04.2012  удовлетворительно
4  05     Елена  Кудрявцева    14.05.2011  удовлетворительно
5  06     Антон      Марьин    02.03.2011            отлично
6  07   Татьяна     Фролова    17.10.2012             хорошо
